"","oversampling_altorithm","classifier","kFold","undersamplingFactor","kSMOTE","nRatioSMOTE","AUCAverage"
"1","asn","xgboost","4","0.99","35","1","0.930487906767298"
"2","asn","xgboost","4","0.95","8","1","0.923326500296307"
"3","smote","xgboost","4","0.8","10","1","0.92975870083878"
"4","smote","xgboost","4","0.9","4","1","0.936021744465108"
"5","asn","logistic_regression","4","0.9","50","1","0.925809267396468"
"6","asn","xgboost","4","0.99","10","1","0.933669744656998"
"7","smote","logistic_regression","4","0.95","60","1","0.940248403737439"
"8","smote","logistic_regression","4","0.99","70","1","0.938879647407219"
"9","smote","xgboost","4","0.8","60","1","0.936100474537674"
"10","smote","logistic_regression","4","0.99","8","1","0.93978915173804"
"11","asn","logistic_regression","4","0.9","4","1","0.927814869967856"
"12","smote","xgboost","4","0.8","70","1","0.931821988643468"
"13","asn","logistic_regression","4","0.8","12","1","0.92565413878107"
"14","smote","logistic_regression","4","0.8","4","1","0.942676611870607"
"15","asn","xgboost","4","0.9","35","1","0.920500612307"
"16","asn","logistic_regression","4","0.8","60","1","0.929221523903128"
"17","asn","logistic_regression","4","0.8","12","1","0.923426350264568"
"18","smote","logistic_regression","4","0.85","30","1","0.94021450929605"
"19","asn","logistic_regression","4","0.85","50","1","0.926821338879865"
"20","asn","xgboost","4","0.85","16","1","0.921669709860671"
"21","smote","logistic_regression","4","0.9","70","1","0.942625863888502"
"22","asn","logistic_regression","4","0.85","12","1","0.926799685230571"
"23","smote","logistic_regression","4","0.85","8","1","0.940821629604115"
"24","smote","xgboost","4","0.8","60","1","0.929676777798546"
"25","smote","xgboost","4","0.95","50","1","0.936388772137251"
"26","smote","xgboost","4","0.8","35","1","0.930630894433955"
"27","asn","logistic_regression","4","0.9","12","1","0.925632627640432"
"28","smote","xgboost","4","0.95","8","1","0.932673482793875"
"29","asn","logistic_regression","4","0.95","16","1","0.928472378724514"
"30","asn","xgboost","4","0.95","10","1","0.924024547430404"
"31","asn","logistic_regression","4","0.95","10","1","0.918789347315684"
"32","asn","logistic_regression","4","0.8","50","1","0.922426485329099"
"33","smote","logistic_regression","4","0.99","35","1","0.942350108087343"
